frame,landmark,x,y,z,visibility
0,0,0.01696817,1.3334005,0.07943265,1.0
0,1,0.020265413,1.3483467,0.039548747,1.0
0,2,0.012798214,1.3399684,0.047345586,1.0
0,3,0.014561285,1.3447683,0.04927165,1.0
0,4,0.05931914,1.3679291,0.025141355,1.0
0,5,0.062627286,1.3599492,0.012391619,1.0
0,6,0.07035353,1.3595464,0.031324442,1.0
0,7,-0.06540484,1.3199823,-0.056952424,1.0
0,8,0.07336384,1.2831582,-0.08063031,1.0
0,9,-0.01093758,1.3233649,0.06431373,1.0
0,10,0.048587956,1.2878172,0.028116487,1.0
0,11,-0.185403,1.177931,-0.043526262,1.0
0,12,0.10906622,1.2518175,0.011902983,1.0
0,13,-0.2164368,0.94563484,-0.048186574,1.0
0,14,0.15907024,0.96418977,0.0083556585,1.0
0,15,-0.21699116,0.69696844,0.07872097,1.0
0,16,0.12807517,0.77018285,0.07149708,1.0
0,17,-0.2377648,0.6560157,0.116239086,1.0
0,18,0.15045515,0.74717927,0.07310943,1.0
0,19,-0.21781176,0.65743434,0.11225272,1.0
0,20,0.1423395,0.7671631,0.065968685,1.0
0,21,-0.20188192,0.673085,0.09021133,1.0
0,22,0.11617865,0.76991713,0.08037005,1.0
0,23,-0.09709071,0.7247773,0.0069004213,1.0
0,24,0.091206506,0.7447905,-0.009161562,1.0
0,25,-0.13193233,0.34895778,0.04932755,1.0
0,26,0.11234429,0.42516175,0.062155455,1.0
0,27,-0.26540065,0.02588938,0.10486112,1.0
0,28,0.107973784,0.007174716,0.15796591,1.0
0,29,-0.295794,-0.0011352748,0.12022935,1.0
0,30,0.09438351,-0.02587439,0.13994977,1.0
0,31,-0.36256438,0.0054643936,0.15537441,1.0
0,32,0.08110082,0.029623536,0.15644981,1.0
1,0,0.018990532,1.3197,0.08526885,1.0
1,1,0.021107532,1.3350282,0.04535059,1.0
1,2,0.013815651,1.3286369,0.05209435,1.0
1,3,0.015645757,1.3304403,0.056152046,1.0
1,4,0.058815226,1.3511958,0.032018226,1.0
1,5,0.061754197,1.3424693,0.018854879,1.0
1,6,0.07128282,1.3405229,0.039148625,1.0
1,7,-0.06596369,1.3098345,-0.049679276,1.0
1,8,0.07508027,1.2666931,-0.0729705,1.0
1,9,-0.011027597,1.3098618,0.07055258,1.0
1,10,0.050870784,1.2731544,0.036564846,1.0
1,11,-0.17911983,1.1672934,-0.043009102,1.0
1,12,0.11592632,1.2369727,0.013859589,1.0
1,13,-0.20978476,0.9407507,-0.056420587,1.0
1,14,0.16254619,0.9467647,-0.018548548,1.0
1,15,-0.21047014,0.7004178,0.05059978,1.0
1,16,0.12702094,0.7525576,0.0034662578,1.0
1,17,-0.23126821,0.65887904,0.08451304,1.0
1,18,0.15010013,0.7322211,-0.004764377,1.0
1,19,-0.21623133,0.6585217,0.07453054,1.0
1,20,0.14182748,0.7504927,-0.012941156,1.0
1,21,-0.19450441,0.67539424,0.06220197,1.0
1,22,0.116960905,0.7530238,0.010454261,1.0
1,23,-0.098619714,0.71001,0.006604231,1.0
1,24,0.095267706,0.72663045,-0.008436771,1.0
1,25,-0.14230901,0.3398248,0.048450086,1.0
1,26,0.12188902,0.40668377,0.07171033,1.0
1,27,-0.26486823,0.022793515,0.07292676,1.0
1,28,0.10774799,-0.0046578054,0.14045392,1.0
1,29,-0.2918214,-0.0040982133,0.086370446,1.0
1,30,0.09603393,-0.038712457,0.12403395,1.0
1,31,-0.35832372,0.0045800377,0.11672781,1.0
1,32,0.08692078,0.02354656,0.14038226,1.0
2,0,0.018778546,1.3144438,0.0892958,1.0
2,1,0.020024138,1.3300458,0.048981655,1.0
