frame,landmark,x,y,z,visibility
0,0,0.026480231,1.4160507,-0.1336298,1.0
0,1,0.03264055,1.4435083,-0.12628718,1.0
0,2,0.039147604,1.4439061,-0.11375363,1.0
0,3,0.027994951,1.4387535,-0.115529895,1.0
0,4,0.0071336795,1.4444308,-0.1437095,1.0
0,5,0.015200437,1.4481089,-0.15519646,1.0
0,6,0.02854907,1.4398254,-0.13496155,1.0
0,7,0.050884016,1.4376951,0.013355242,1.0
0,8,-0.07959346,1.3814756,-0.04468228,1.0
0,9,0.046512943,1.4064684,-0.07818286,1.0
0,10,0.023656568,1.3728988,-0.12115953,1.0
0,11,0.11908674,1.2754875,0.17466258,1.0
0,12,-0.11068015,1.3392874,0.061236136,1.0
0,13,0.1979763,1.1137815,0.22260062,1.0
0,14,-0.14571814,1.0472294,0.03625632,1.0
0,15,0.26990724,0.94037664,0.18652815,1.0
0,16,-0.16835186,0.8235335,-0.027822617,1.0
0,17,0.28005728,0.9153986,0.17979433,1.0
0,18,-0.15205057,0.78973764,-0.0746579,1.0
0,19,0.26455823,0.9102976,0.15019484,1.0
0,20,-0.138954,0.81697804,-0.09231355,1.0
0,21,0.2717513,0.91841394,0.16707328,1.0
0,22,-0.15867227,0.8217829,-0.043326214,1.0
0,23,0.056360215,0.80223703,0.079120025,1.0
0,24,-0.058207925,0.8461781,-0.080227405,1.0
0,25,0.0071363,0.379059,0.050685257,1.0
0,26,0.06716714,0.5350153,-0.18111782,1.0
0,27,-0.100305386,0.03348312,0.13768521,1.0
0,28,0.11437993,0.12247159,-0.16236155,1.0
0,29,-0.12483993,0.011990967,0.14947487,1.0
0,30,0.113566995,0.08656332,-0.19806406,1.0
0,31,-0.060494944,-0.003405854,0.10222635,1.0
0,32,0.20291395,0.09506488,-0.28082156,1.0
1,0,0.024371397,1.417239,-0.1673502,1.0
1,1,0.032836094,1.4438459,-0.16150059,1.0
1,2,0.038210917,1.4457825,-0.14870843,1.0
1,3,0.027915835,1.4409646,-0.15022714,1.0
1,4,0.0060219113,1.4477054,-0.17721674,1.0
1,5,0.012843562,1.4504048,-0.18895483,1.0
1,6,0.02635767,1.4416549,-0.1692165,1.0
1,7,0.05430866,1.439157,-0.021879604,1.0
1,8,-0.07895589,1.3841,-0.073352754,1.0
1,9,0.045141082,1.4072642,-0.111761175,1.0
1,10,0.021745825,1.3756608,-0.15206979,1.0
1,11,0.12370926,1.2749857,0.13854706,1.0
1,12,-0.11442743,1.3423663,0.04813406,1.0
1,13,0.20190944,1.1102662,0.1846918,1.0
1,14,-0.15032452,1.0471256,0.034557577,1.0
1,15,0.26952827,0.9382836,0.15047702,1.0
1,16,-0.18509865,0.8158076,-0.02619049,1.0
1,17,0.27956423,0.91262996,0.14398634,1.0
1,18,-0.16942526,0.78094405,-0.071657136,1.0
1,19,0.2616855,0.9080678,0.11420468,1.0
1,20,-0.1574665,0.80619717,-0.09231377,1.0
1,21,0.2700741,0.9152146,0.13283658,1.0
1,22,-0.17551793,0.81428945,-0.042900138,1.0
1,23,0.06016203,0.8061235,0.074883305,1.0
1,24,-0.061547134,0.84683466,-0.076292254,1.0
1,25,0.009401472,0.38420522,0.04488294,1.0
1,26,0.06456954,0.5351268,-0.17485748,1.0
1,27,-0.09462874,0.037225027,0.123771474,1.0
1,28,0.123741746,0.11876361,-0.14551786,1.0
1,29,-0.11922424,0.013760898,0.13481247,1.0
1,30,0.12584217,0.08419723,-0.18007004,1.0
1,31,-0.05885575,-0.0033655092,0.08054239,1.0
1,32,0.21332018,0.08855696,-0.2670293,1.0
2,0,0.028243262,1.4141772,-0.18275984,1.0
2,1,0.03480909,1.4430953,-0.17704263,1.0
2,2,0.041223,1.4428797,-0.16359463,1.0
2,3,0.03065931,1.4383895,-0.16437362,1.0
2,4,0.0060854927,1.4467663,-0.19009894,1.0
2,5,0.014326338,1.4471493,-0.20499477,1.0
2,6,0.02718358,1.4399049,-0.18413348,1.0
2,7,0.057316504,1.4346417,-0.032205835,1.0
2,8,-0.079618774,1.3803693,-0.08372025,1.0
2,9,0.04941767,1.4035959,-0.12687936,1.0
2,10,0.025077228,1.3723196,-0.16624455,1.0
2,11,0.12695646,1.2644556,0.12753488,1.0
2,12,-0.11489612,1.3326839,0.037284993,1.0
2,13,0.20341288,1.0981661,0.17983453,1.0
2,14,-0.14856115,1.0346137,0.025611766,1.0
2,15,0.28784096,0.9154365,0.15225217,1.0
2,16,-0.18396966,0.7967351,-0.027479013,1.0
2,17,0.30526233,0.8863328,0.14710727,1.0
2,18,-0.16853175,0.75778514,-0.072995216,1.0
2,19,0.28859958,0.88027304,0.118751995,1.0
2,20,-0.15615654,0.78248805,-0.09438526,1.0
2,21,0.29087314,0.887954,0.13780606,1.0
2,22,-0.17361371,0.7952739,-0.045613214,1.0
2,23,0.064301185,0.7971905,0.07721265,1.0
2,24,-0.06428046,0.8378588,-0.07875922,1.0
2,25,0.0277496,0.38186947,0.036626782,1.0
2,26,0.06579605,0.5294357,-0.1747077,1.0
2,27,-0.09779007,0.04865802,0.1247043,1.0
2,28,0.12560247,0.10706736,-0.14992112,1.0
2,29,-0.12553164,0.024894334,0.13565215,1.0
2,30,0.12498739,0.071207404,-0.18480228,1.0
2,31,-0.07179904,0.00049931183,0.07973179,1.0
2,32,0.22009687,0.07201181,-0.281887,1.0
3,0,0.031842418,1.3641386,-0.1939146,1.0
3,1,0.033461913,1.3981013,-0.18953702,1.0
3,2,0.042043928,1.3927376,-0.1742758,1.0
3,3,0.031367607,1.389122,-0.17580928,1.0
3,4,0.00753,1.3991995,-0.19766845,1.0
3,5,0.016946828,1.3948627,-0.21485022,1.0
3,6,0.023781156,1.393402,-0.19254404,1.0
3,7,0.054042354,1.3891845,-0.042644776,1.0
3,8,-0.07946296,1.3354784,-0.0992235,1.0
3,9,0.052311044,1.3584079,-0.1412804,1.0
3,10,0.029798476,1.324947,-0.17755826,1.0
3,11,0.12333891,1.2148894,0.11795762,1.0
3,12,-0.119395435,1.2839141,0.016335519,1.0
3,13,0.20174778,1.0315076,0.18469335,1.0
3,14,-0.1453628,0.987757,-0.005788995,1.0
3,15,0.2987137,0.8073314,0.17589752,1.0
3,16,-0.18226904,0.74844295,-0.054672368,1.0
3,17,0.31853828,0.76613754,0.17664692,1.0
3,18,-0.1693375,0.7083085,-0.1021145,1.0
3,19,0.3035097,0.75799197,0.15278491,1.0
3,20,-0.15689021,0.72920316,-0.1241632,1.0
3,21,0.3060237,0.77376103,0.16897248,1.0
3,22,-0.17309025,0.7497305,-0.07502342,1.0
3,23,0.0693334,0.74769175,0.082346946,1.0
3,24,-0.06679797,0.7862866,-0.0825675,1.0
3,25,0.111458905,0.35484594,-0.022052575,1.0
3,26,0.051510654,0.4799573,-0.16500068,1.0
3,27,-0.08607589,0.075093135,0.12589355,1.0
3,28,0.09182673,0.062315878,-0.10366208,1.0
3,29,-0.12166068,0.05220464,0.14010336,1.0
3,30,0.087813064,0.023133837,-0.13278323,1.0
3,31,-0.077148475,0.015738666,0.09785603,1.0
3,32,0.18729265,0.023308134,-0.23325557,1.0
4,0,0.013784375,1.3544458,-0.2661326,1.0
4,1,0.020797253,1.3878794,-0.25962904,1.0
4,2,0.02478581,1.3866136,-0.24797449,1.0
4,3,0.020304132,1.3835877,-0.24800533,1.0
4,4,-0.0031247586,1.3933614,-0.27131593,1.0
4,5,0.0055397935,1.3851258,-0.28360403,1.0
4,6,0.00782517,1.3839573,-0.2622355,1.0
4,7,0.049154155,1.3826382,-0.11834455,1.0
4,8,-0.08674428,1.3302484,-0.16352792,1.0
4,9,0.039233115,1.351375,-0.21377735,1.0
4,10,0.018695792,1.3168308,-0.24409658,1.0
4,11,0.12540418,1.2101307,0.046907317,1.0
4,12,-0.13004485,1.2729528,-0.018750917,1.0
4,13,0.19056252,1.0135118,0.12199942,1.0
4,14,-0.16731845,0.96797824,-0.031046487,1.0
4,15,0.2897451,0.7861217,0.12817731,1.0
4,16,-0.20103472,0.7281927,-0.08291095,1.0
4,17,0.3107144,0.748629,0.1290342,1.0
4,18,-0.18318237,0.6906275,-0.12834802,1.0
4,19,0.29487675,0.74096066,0.103995286,1.0
